ID,STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
6484,Uttar Pradesh,Varanasi,RAM LAKHAN GUPTA,Jantantra Party,1376
6485,Uttar Pradesh,Varanasi,RAJENDRA PRASAD (GARIB DAS),Independent,1367
6486,Uttar Pradesh,Varanasi,PRAKASH PRASAD,Independent,1361
6487,Uttar Pradesh,Varanasi,NARENDRA BAHADUR SINGH,Independent,1306
6488,Uttar Pradesh,Varanasi,HEMANT KUMAR YADAV,Indian National League,1202
6489,Uttar Pradesh,Varanasi,BACHCHAN PRASAD YADAV,Independent,1192
6490,Uttar Pradesh,Varanasi,BACHCHELAL,Lokpriya Samaj Party,1172
6491,Uttar Pradesh,Varanasi,GHANSHYAM,Independent,1151
6492,Uttar Pradesh,Varanasi,OM GURU CHARAN DAS ALIAS VIMAL KUMAR SINGH,Sanatan Sanskriti Raksha Dal,1144
6493,Uttar Pradesh,Varanasi,PRABHAT KUMAR,Independent,1089
6494,Uttar Pradesh,Varanasi,MANOJ KUMAR CHAUBEY,Independent,1074
6495,Uttar Pradesh,Varanasi,RAVINDRA KUMAR,Independent,1012
6496,Uttar Pradesh,Varanasi,LALLAN,Manavadhikar Janshakti Party,997
6497,Uttar Pradesh,Varanasi,AHMED SOHEL SIDDIQUI,Independent,937
6498,Uttar Pradesh,Varanasi,USMAN,Rashtriya Apna Dal,878
6499,Uttar Pradesh,Varanasi,HARI LAL,Rastriya Insaaf Party,838
6500,Uttar Pradesh,Varanasi,RAJIV KUMAR MISHRA,Independent,677
6501,Uttar Pradesh,Varanasi,SATYAPRAKASH SRIVASTAVA,Independent,599
6502,Uttar Pradesh,Varanasi,MAHENDRA MISHRA,Independent,573
6503,Uttar Pradesh,Varanasi,SATISH SHANKAR JAYASWAL,Independent,459
6504,Uttar Pradesh,Varanasi,RAMPYARE SINGH,Independent,423
6505,Uttar Pradesh,Varanasi,SHIV KUMAR SHAH,Independent,312
6506,Uttar Pradesh,Varanasi,None of the Above,None of the Above,2051
6507,Uttar Pradesh,Bhadohi,VIRENDRA SINGH,Bharatiya Janata Party,403544
6508,Uttar Pradesh,Bhadohi,RAKESH DHAR TRIPATHI,Bahujan Samaj Party,245505
6509,Uttar Pradesh,Bhadohi,SEEMA MISHRA,Samajwadi Party,238615
6510,Uttar Pradesh,Bhadohi,TEJ BAHADUR YADAV ADVOCATE,Janata Dal (United),26995
6511,Uttar Pradesh,Bhadohi,SARTAJ IMAM,Indian National Congress,22574
6512,Uttar Pradesh,Bhadohi,DR. AKHILESH KUMAR DWIVEDI,Nationalist Congress Party,7730
6513,Uttar Pradesh,Bhadohi,AJAY KUMAR MAURYA,Pragatisheel Manav Samaj Party,5807
6514,Uttar Pradesh,Bhadohi,SANTRAJ SINGH,Independent,4823
6515,Uttar Pradesh,Bhadohi,RAM SAKHA TRIPATHI,Independent,4313
6516,Uttar Pradesh,Bhadohi,JEEVAN KUMAR MALLAH,Independent,4164
6517,Uttar Pradesh,Bhadohi,RAM SAGAR BIND,Qaumi Ekta Dal,2443
6518,Uttar Pradesh,Bhadohi,CHANDRASHEKHAR,Independent,2191
6519,Uttar Pradesh,Bhadohi,JAGJEEVAN RAM,Independent,1963
6520,Uttar Pradesh,Bhadohi,RAJESH KUMAR ALIAS KHANNA MAURYA,Adarsh Manavtawadi Party,1919
6521,Uttar Pradesh,Bhadohi,None of the Above,None of the Above,8966
6522,Uttar Pradesh,Mirzapur,ANUPRIYA SINGH PATEL,Apna Dal,436536
6523,Uttar Pradesh,Mirzapur,SAMUDRA BIND,Bahujan Samaj Party,217457
6524,Uttar Pradesh,Mirzapur,LALITESH PATI TRIPATHI,Indian National Congress,152666
6525,Uttar Pradesh,Mirzapur,SURENDRA SINGH PATEL,Samajwadi Party,108859
6526,Uttar Pradesh,Mirzapur,ASHOK KUMAR,Independent,11245
6527,Uttar Pradesh,Mirzapur,RAM MURAT,Independent,7947
6528,Uttar Pradesh,Mirzapur,SANTOSH KUMAR,Samyak Parivartan Party,6811
6529,Uttar Pradesh,Mirzapur,AJAD,Gondvana Gantantra Party,6762
6530,Uttar Pradesh,Mirzapur,SUKCHARA NAND URF AALOO BABA,Shivsena,4787
6531,Uttar Pradesh,Mirzapur,DEVI,Independent,4639
6532,Uttar Pradesh,Mirzapur,VINEET SAHAI,All India Trinamool Congress,4548
6533,Uttar Pradesh,Mirzapur,SHIVRAJ SAHNI,Pragatisheel Manav Samaj Party,4405
6534,Uttar Pradesh,Mirzapur,BRIJESH KUMAR RAI,Aam Aadmi Party,4318
6535,Uttar Pradesh,Mirzapur,SARVESH DUBEY,Republican Party of India (A),4304
6536,Uttar Pradesh,Mirzapur,JITTOO RAM RATNA,Lok Dal,4209
6537,Uttar Pradesh,Mirzapur,JEERA BHARTI,Communist Party of India (Marxist-Leninist) (Liberation),4148
6538,Uttar Pradesh,Mirzapur,DR. KARNAIL SINGH,Independent,3627
6539,Uttar Pradesh,Mirzapur,BHAGWAN DAS,Bahujan Mukti Party,3324
6540,Uttar Pradesh,Mirzapur,ADESH TYAGI,Independent,3300
6541,Uttar Pradesh,Mirzapur,HINCHH LAL,Independent,2685
6542,Uttar Pradesh,Mirzapur,GIRJA SHANKAR URF CHUNMUN,Independent,2363
6543,Uttar Pradesh,Mirzapur,RADHESHYAM INSAN,Bhartiya Republican Party (Insan),2138
6544,Uttar Pradesh,Mirzapur,RAJA RAM,Independent,2010
6545,Uttar Pradesh,Mirzapur,None of the Above,None of the Above,4539
6546,Uttar Pradesh,Robertsganj,CHHOTELAL,Bharatiya Janata Party,378211
6547,Uttar Pradesh,Robertsganj,SHARADA PRASAD,Bahujan Samaj Party,187725
6548,Uttar Pradesh,Robertsganj,PAKAUDI LAL KOL,Samajwadi Party,135966
6549,Uttar Pradesh,Robertsganj,BHAGWATI PRASAD CHAUDHARY,Indian National Congress,86235
6550,Uttar Pradesh,Robertsganj,ASHOK KUMAR KANNAOUJIYA,Communist Party of India,24363
6551,Uttar Pradesh,Robertsganj,RAVI SHANKAR KANNAUJIA,Aam Aadmi Party,9913
6552,Uttar Pradesh,Robertsganj,RAMBRIKSHA,Independent,9408
6553,Uttar Pradesh,Robertsganj,LAWRENCE ANTHONY,Independent,7703
6554,Uttar Pradesh,Robertsganj,SHANKAR KOL,Communist Party of India (Marxist-Leninist) (Liberation),6101
6555,Uttar Pradesh,Robertsganj,ARUN SINGH(CHERO),Independent,5613
6556,Uttar Pradesh,Robertsganj,GUN DEVI ( GYANI DEVI),Qaumi Ekta Dal,5307
6557,Uttar Pradesh,Robertsganj,S. R. DARAPURI,All India Peoples' Front (Radical),4891
6558,Uttar Pradesh,Robertsganj,RAJKUMAR,Shoshit Sandesh Party,2982
6559,Uttar Pradesh,Robertsganj,MANGOI,Bahujan Mukti Party,2966
6560,Uttar Pradesh,Robertsganj,None of the Above,None of the Above,18489
6561,West Bengal,Cooch behar,RENUKA SINHA,All India Trinamool Congress,526499
6562,West Bengal,Cooch behar,DIPAK KUMAR ROY,All India Forward Bloc,439392
6563,West Bengal,Cooch behar,HEM CHANDRA BARMAN,Bharatiya Janata Party,217653
6564,West Bengal,Cooch behar,KESHAB CHANDRA RAY,Indian National Congress,74540
6565,West Bengal,Cooch behar,GIRINDRA NATH BARMAN,Bahujan Samaj Party,15683
6566,West Bengal,Cooch behar,BANGSHI BADAN BARMAN,Independent,13205
6567,West Bengal,Cooch behar,KAMAL KRISHNA BAIRAGI,Rashtriya Janadhikar Suraksha Party,7125
6568,West Bengal,Cooch behar,NRIPEN KARJEE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),6742
6569,West Bengal,Cooch behar,HAREKRISHNA SARKAR,Republican Party of India (A),5796
6570,West Bengal,Cooch behar,PIJUSH BARMAN,Welfare Party Of India,5137
6571,West Bengal,Cooch behar,HITENDRA DAS,Independent,5059
6572,West Bengal,Cooch behar,DALENDRA NATH RAY,Amra Bangalee,4169
6573,West Bengal,Cooch behar,None of the Above,None of the Above,11409
6574,Assam,Silchar,SUSHMITA DEV,Indian National Congress,336451
6575,Assam,Silchar,KABINDRA PURKAYASTHA,Bharatiya Janata Party,301210
6576,Assam,Silchar,KUTUB AHMED MAZUMDER,All India United Democratic Front,85530
6577,Assam,Silchar,REJAMOND ALI BARBHUIYA,Communist Party of India (Marxist),12460
6578,Assam,Silchar,ARUNANGSHU BHATTACHARJEE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8595
6579,Assam,Silchar,SHUVADIP DATTA,Independent,8577
6580,Assam,Silchar,WAZID REJA OSMANI,All India Trinamool Congress,8282
6581,Assam,Silchar,BIJOY KRISHNA NATH,Asom Gana Parishad,7679
6582,Assam,Silchar,SUKAMAL DAS,Independent,6221
6583,Assam,Silchar,RASHID AHMED LASKAR,Samajwadi Party,3347
6584,Assam,Silchar,MADHU SUDHAN DAS,Independent,3151
6585,Assam,Silchar,ABDUL MANNAN BARBHUIYA,Aam Aadmi Party,3118
6586,Assam,Silchar,UPENDRA CHANDRA DAS,Independent,2740
6587,Assam,Silchar,NIRUPAM MANDAL,Independent,2462
6588,Assam,Silchar,KAMAL DAS,Independent,2170
6589,Assam,Silchar,NILU MANDOL,Shivsena,1922
6590,Assam,Silchar,JAYANTA MALLICK,Independent,1605
6591,Assam,Silchar,None of the Above,None of the Above,4310
6592,West Bengal,Alipurduars,DASRATH TIRKEY,All India Trinamool Congress,362453
6593,West Bengal,Alipurduars,MANOHAR TIRKEY,Revolutionary Socialist Party,341056
6594,West Bengal,Alipurduars,BIRENDRA BARA (ORAON),Bharatiya Janata Party,335857
6595,West Bengal,Alipurduars,JOSEPH MUNDA,Indian National Congress,116718
6596,West Bengal,Alipurduars,ELIASH NARJINARY,Bahujan Samaj Party,11039
6597,West Bengal,Alipurduars,PAUL DEXION KHARIYA,Independent,10450
6598,West Bengal,Alipurduars,DR. KAPIN CH. BORO,Independent,7676
6599,West Bengal,Alipurduars,SUBASH CHIK BARAIK,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7131
6600,West Bengal,Alipurduars,ISHABELA KUJUR,Rashtriya Janadhikar Suraksha Party,5961
6601,West Bengal,Alipurduars,BILKAN BARA,Samajwadi Jan Parishad,5340
6602,West Bengal,Alipurduars,None of the Above,None of the Above,19885
6603,West Bengal,Jalpaiguri,BIJOY CHANDRA BARMAN,All India Trinamool Congress,494773
6604,West Bengal,Jalpaiguri,MAHENDRA KUMAR ROY,Communist Party of India (Marxist),425167
6605,West Bengal,Jalpaiguri,SATYALAL SARKAR,Bharatiya Janata Party,221593
6606,West Bengal,Jalpaiguri,SUKHBILAS BARMA,Indian National Congress,87588
6607,West Bengal,Jalpaiguri,KSHITISH CHANDRA MANDAL,Bahujan Samaj Party,12147
6608,West Bengal,Jalpaiguri,HARIBHAKTA SARDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9283
6609,West Bengal,Jalpaiguri,SUBHAS BISWAS,Independent,8545
6610,West Bengal,Jalpaiguri,HAREKRISHNA SARKAR,Republican Party of India (A),7636
6611,West Bengal,Jalpaiguri,HARIPADA BARMAN,Rashtriya Janasachetan Party (R.J.P.),6608
6612,West Bengal,Jalpaiguri,DILIP SARKAR,Bahujan Mukti Party,4900
6613,West Bengal,Jalpaiguri,DHRITIMAN ROY,Rashtriya Janadhikar Suraksha Party,4501
6614,West Bengal,Jalpaiguri,DHIRENDRA NATH ROY,Amra Bangalee,2835
6615,West Bengal,Jalpaiguri,None of the Above,None of the Above,16541
6616,West Bengal,Darjeeling,S.S.AHLUWALIA,Bharatiya Janata Party,488257
6617,West Bengal,Darjeeling,BHAI CHUNG BHUTIA,All India Trinamool Congress,291018
6618,West Bengal,Darjeeling,SAMAN PATHAK (SURAJ),Communist Party of India (Marxist),167186
6619,West Bengal,Darjeeling,SUJAY GHATAK,Indian National Congress,90076
6620,West Bengal,Darjeeling,MAHENDRA P. LAMA,Independent,55767
6621,West Bengal,Darjeeling,RABINDRA ROY BASUNIA,Independent,6100
6622,West Bengal,Darjeeling,KAKALI MAJUMDAR (ROY),Bahujan Samaj Party,6040
6623,West Bengal,Darjeeling,ARUN KUMAR AGARWAL,Independent,5449
6624,West Bengal,Darjeeling,GOUTAM BHATTACHARYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3993
6625,West Bengal,Darjeeling,SUNIL PANDIT,Rashtriya Janasachetan Party (R.J.P.),3043
6626,West Bengal,Darjeeling,NIMA LAMA,Gorkha Rashtriya Congress,2906
6627,West Bengal,Darjeeling,LALIT SINGHA,Bahujan Mukti Party,2100
6628,West Bengal,Darjeeling,NIRANJAN SAHA,Amra Bangalee,2029
6629,West Bengal,Darjeeling,None of the Above,None of the Above,18045
6630,West Bengal,Raiganj,MD. SALIM,Communist Party of India (Marxist),317515
6631,West Bengal,Raiganj,DEEPA DASMUNSI,Indian National Congress,315881
6632,West Bengal,Raiganj,NIMU BHOWMICK,Bharatiya Janata Party,203131
6633,West Bengal,Raiganj,PABITRA RANJAN DASMUNSHI (SATYA),All India Trinamool Congress,192698
6634,West Bengal,Raiganj,SUDIIP RANJAN SEN,Samajwadi Party,32303
6635,West Bengal,Raiganj,DULAL RAJBANSHI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8592
6636,West Bengal,Raiganj,SWAPAN KUMAR DAS,Bahujan Samaj Party,5629
6637,West Bengal,Raiganj,SUBRATA ADHIKARY,Independent,5548
6638,West Bengal,Raiganj,BABLU SOREN,Jharkhand Disom Party,5544
6639,West Bengal,Raiganj,PASARUL ALAM,Aam Aadmi Party,3614
6640,West Bengal,Raiganj,ZAMEERUL HASAN,All India United Democratic Front,3471
6641,West Bengal,Raiganj,NANDAKISHOR SINGHA,Amra Bangalee,3338
6642,West Bengal,Raiganj,None of the Above,None of the Above,10929
6643,West Bengal,Balurghat,ARPITA GHOSH,All India Trinamool Congress,409641
6644,West Bengal,Balurghat,BIMALENDU SARKAR (BIMAL),Revolutionary Socialist Party,302677
6645,West Bengal,Balurghat,BISWAPRIYA ROY CHOUDHURY,Bharatiya Janata Party,223014
6646,West Bengal,Balurghat,OM PRAKAS MISHRA,Indian National Congress,80715
6647,West Bengal,Balurghat,ABDUS SADEK SARKAR,All India United Democratic Front,10547
6648,West Bengal,Balurghat,SIBEN SARKAR,Independent,5647
6649,West Bengal,Balurghat,SOM HEMRAM,Jharkhand Disom Party,4774
6650,West Bengal,Balurghat,RAJEN HANSDA,Bahujan Samaj Party,4581
6651,West Bengal,Balurghat,SASTI CHANDRA SARKAR,Rashtriya Janadhikar Suraksha Party,3969
6652,West Bengal,Balurghat,ISLAM NURAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2644
6653,West Bengal,Balurghat,RANENDRANATH MALI,Bahujan Mukti Party,1687
6654,West Bengal,Balurghat,MANAS CHAKRABORTY (GANESH),Communist Party of India (Marxist-Leninist) Red Star,1466
6655,West Bengal,Balurghat,None of the Above,None of the Above,11691
6656,West Bengal,Maldaha Uttar,MAUSAM NOOR,Indian National Congress,388609
6657,West Bengal,Maldaha Uttar,KHAGEN MURMU,Communist Party of India (Marxist),322904
6658,West Bengal,Maldaha Uttar,SOUMITRA RAY,All India Trinamool Congress,197313
6659,West Bengal,Maldaha Uttar,SUBHASH KRISHNA GOSWAMI,Bharatiya Janata Party,179000
6660,West Bengal,Maldaha Uttar,MILAN DAS,Samajwadi Party,12163
6661,West Bengal,Maldaha Uttar,GAUTAM SARKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8988
6662,West Bengal,Maldaha Uttar,NURUL ISLAM MAJIDI,Welfare Party Of India,7128
6663,West Bengal,Maldaha Uttar,IMANUYEL HEMRAM (BAIDYA),Jharkhand Disom Party,6805
6664,West Bengal,Maldaha Uttar,SUREN MURMU,Independent,6446
6665,West Bengal,Maldaha Uttar,CHITTA RANJAN KIRTTANIA,Bahujan Samaj Party,6229
6666,West Bengal,Maldaha Uttar,MONATAN HEMBRAM,Bahujan Mukti Party,4696
6667,West Bengal,Maldaha Uttar,ABDUL KHALEQUE,All India United Democratic Front,4650
6668,West Bengal,Maldaha Uttar,BISHNUPADA BARMAN,Amra Bangalee,4225
6669,West Bengal,Maldaha Uttar,MINARA KHATUN,Hindustan Krantikari Dal,3348
6670,West Bengal,Maldaha Uttar,None of the Above,None of the Above,10481
6671,West Bengal,Maldaha Dakshin,ABU HASEM KHAN CHOWDHURY,Indian National Congress,380291
6672,West Bengal,Maldaha Dakshin,BISNU PADA ROY,Bharatiya Janata Party,216180
6673,West Bengal,Maldaha Dakshin,ABUL HASNAT KHAN,Communist Party of India (Marxist),209480
6674,West Bengal,Maldaha Dakshin,MD MOAZZEM HOSSAIN,All India Trinamool Congress,192632
6675,West Bengal,Maldaha Dakshin,MD NAJRUL ISLAM,All India United Democratic Front,21207
6676,West Bengal,Maldaha Dakshin,IMTIAZ AHMED MOLLAH,SOCIAL DEMOCRATIC PARTY OF INDIA,12952
6677,West Bengal,Maldaha Dakshin,MANJUR ALAHI MUNSHI,Independent,11426
6678,West Bengal,Maldaha Dakshin,SADHAN CHATTERJEE,Independent,10536
6679,West Bengal,Maldaha Dakshin,NARESH RISHI,Independent,6616
6680,West Bengal,Maldaha Dakshin,NIKHIL CHANDRA MANDAL,Bahujan Samaj Party,6138
6681,West Bengal,Maldaha Dakshin,MD EZARUDDIN,Jamat-E-Seratul Mustakim,3377
6682,West Bengal,Maldaha Dakshin,MD FARUQUE HOSSAIN (SAHITYARATNA),Indian Union Muslim League,3282
6683,West Bengal,Maldaha Dakshin,MURSED SEKH,Republican Party of India (A),2720
6684,West Bengal,Maldaha Dakshin,NASMUL HOQUE,Party for Democratic Socialism,2466
6685,West Bengal,Maldaha Dakshin,BIMAL MARDI,Jharkhand Disom Party,1921
6686,West Bengal,Maldaha Dakshin,DIPAK SINGH,Rashtriya Janadhikar Suraksha Party,1449
6687,West Bengal,Maldaha Dakshin,FIROZ AKHTAR,Bahujan Mukti Party,1342
6688,West Bengal,Maldaha Dakshin,None of the Above,None of the Above,8392
6689,West Bengal,Jangipur,ABHIJIT MUKHERJEE,Indian National Congress,378201
6690,West Bengal,Jangipur,MUZAFFAR HOSSAIN,Communist Party of India (Marxist),370040
6691,West Bengal,Jangipur,SK NURUL ISLAM,All India Trinamool Congress,207455
6692,West Bengal,Jangipur,SAMRAT GHOSH,Bharatiya Janata Party,96751
6693,West Bengal,Jangipur,MD. SAHABUDDIN,SOCIAL DEMOCRATIC PARTY OF INDIA,17257
6694,West Bengal,Jangipur,ABHIJIT SARKAR,Independent,10055
6695,West Bengal,Jangipur,MONIRUL ISLAM,Welfare Party Of India,9476
6696,West Bengal,Jangipur,ABDUS SAYEED,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7926
6697,West Bengal,Jangipur,SANJIT SINGH,Bahujan Samaj Party,5507
6698,West Bengal,Jangipur,DHANANJAY BANERJEE,Amra Bangalee,3019
6699,West Bengal,Jangipur,MD. GINNATULLA SK,Jamat-E-Seratul Mustakim,2318
6700,West Bengal,Jangipur,None of the Above,None of the Above,11079
6701,West Bengal,Baharampur,ADHIR RANJAN CHOWDHURY,Indian National Congress,583549
6702,West Bengal,Baharampur,INDRANIL SEN,All India Trinamool Congress,226982
6703,West Bengal,Baharampur,PRAMOTHES MUKHERJEE,Revolutionary Socialist Party,225699
6704,West Bengal,Baharampur,DEBES ADHIKARI,Bharatiya Janata Party,81656
6705,West Bengal,Baharampur,BADRUL SEKH,SOCIAL DEMOCRATIC PARTY OF INDIA,11642
6706,West Bengal,Baharampur,MD. EZARUDDIN,Jamat-E-Seratul Mustakim,4869
6707,West Bengal,Baharampur,KUSHADHWAJ BALA,Bahujan Samaj Party,4676
6708,West Bengal,Baharampur,ABDUS SUKUR,Indian Union Muslim League,4322
6709,West Bengal,Baharampur,None of the Above,None of the Above,11192
6710,West Bengal,Murshidabad,BADARUDDOZA KHAN,Communist Party of India (Marxist),426947
6711,West Bengal,Murshidabad,ABDUL MANNAN HOSSAIN,Indian National Congress,408494
6712,West Bengal,Murshidabad,ALI MOHAMMAD,All India Trinamool Congress,289027
6713,West Bengal,Murshidabad,SUJIT KUMAR GHOSH,Bharatiya Janata Party,101069
6714,West Bengal,Murshidabad,MD. NAJMUL HOQUE,All India United Democratic Front,11333
6715,West Bengal,Murshidabad,KAMARUJJAMAN KHANDEKAR(BAKUL),SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8378
6716,West Bengal,Murshidabad,MD. KHODABOX SEKH,Welfare Party Of India,6445
6717,West Bengal,Murshidabad,MASUDUL ISLAM,SOCIAL DEMOCRATIC PARTY OF INDIA,6010
6718,West Bengal,Murshidabad,JITENDRA NATH HALDER,Bahujan Samaj Party,5722
6719,West Bengal,Murshidabad,ABDUL BARI,Indian Union Muslim League,5383
6720,West Bengal,Murshidabad,ASIM KUMAR DAS,Independent,4539
6721,West Bengal,Murshidabad,SWAPAN KUMAR MANDAL,Amra Bangalee,4260
6722,West Bengal,Murshidabad,None of the Above,None of the Above,10156
6723,Assam,Autonomous District,BIREN SINGH ENGTI,Indian National Congress,213152
6724,Assam,Autonomous District,JOY RAM ENGLENG,Bharatiya Janata Party,189057
6725,Assam,Autonomous District,CHOMANG KRO,Independent,108299
6726,Assam,Autonomous District,PRATIMA ENGHEEPI,Communist Party of India (Marxist-Leninist) (Liberation),11762
6727,Assam,Autonomous District,ASHWENG J. RENGMA,Jharkhand Mukti Morcha,9263
6728,Assam,Autonomous District,None of the Above,None of the Above,11747
6729,West Bengal,Krishnanagar,TAPAS PAUL,All India Trinamool Congress,438789
6730,West Bengal,Krishnanagar,JHA SHANTANU,Communist Party of India (Marxist),367534
6731,West Bengal,Krishnanagar,SATYA BRATA MOOKHERJEE,Bharatiya Janata Party,329387
6732,West Bengal,Krishnanagar,AHMED RAZIA,Indian National Congress,74789
6733,West Bengal,Krishnanagar,SUBIMAL SENGUPTA,Communist Party of India (Marxist-Leninist) (Liberation),7777
6734,West Bengal,Krishnanagar,KAMAL DATTA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7214
6735,West Bengal,Krishnanagar,HARASHIT BISWAS,Bahujan Samaj Party,6168
6736,West Bengal,Krishnanagar,MOLLA JAFORULLA,Bahujan Mukti Party,4865
6737,West Bengal,Krishnanagar,AHAMED HOSSAIN,Indian Union Muslim League,3749
6738,West Bengal,Krishnanagar,None of the Above,None of the Above,7642
6739,West Bengal,Ranaghat,TAPAS MANDAL,All India Trinamool Congress,590451
6740,West Bengal,Ranaghat,ARCHANA BISWAS,Communist Party of India (Marxist),388684
6741,West Bengal,Ranaghat,SUPRAVAT BISWAS,Bharatiya Janata Party,233670
6742,West Bengal,Ranaghat,PRATAP KANTI RAY,Indian National Congress,92218
6743,West Bengal,Ranaghat,UTPALA BISWAS,Bahujan Samaj Party,9116
6744,West Bengal,Ranaghat,SUBHAS CHANDRA SARKAR,Independent,8658
6745,West Bengal,Ranaghat,PARESH HALDER,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7952
6746,West Bengal,Ranaghat,NADIYAR CHAND MONDAL,Republican Party of India (A),3992
6747,West Bengal,Ranaghat,CHAITANYA BARAI,Nirjatita Samaj Biplabi Party,3829
6748,West Bengal,Ranaghat,None of the Above,None of the Above,14626
6749,West Bengal,Bangaon,KAPIL KRISHNA THAKUR,All India Trinamool Congress,551213
6750,West Bengal,Bangaon,DEBESH DAS,Communist Party of India (Marxist),404612
6751,West Bengal,Bangaon,K.D. BISWAS,Bharatiya Janata Party,244783
6752,West Bengal,Bangaon,ILA MONDAL,Indian National Congress,43866
6753,West Bengal,Bangaon,CHANDAN MALLICK,Bahujan Samaj Party,9207
6754,West Bengal,Bangaon,PRANITA MANDAL,Independent,8738
6755,West Bengal,Bangaon,SWAPAN MONDAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3589
6756,West Bengal,Bangaon,TARAPADA BISWAS,Amra Bangalee,2848
6757,West Bengal,Bangaon,SHYAM PRASAD MONDAL,Party for Democratic Socialism,2624
6758,West Bengal,Bangaon,SARAT CHANDRA MANDAL,Rashtriya Ahinsa Manch,1172
6759,West Bengal,Bangaon,PINAKI RANJAN BHARATI,The Religion of Man Revolving Political Party of India,1071
6760,West Bengal,Bangaon,None of the Above,None of the Above,9965
6761,West Bengal,Barrackpore,DINESH TRIVEDI,All India Trinamool Congress,479206
6762,West Bengal,Barrackpore,SUBHASHINI ALI,Communist Party of India (Marxist),272433
6763,West Bengal,Barrackpore,RUMESH KUMAR HANDA,Bharatiya Janata Party,230401
6764,West Bengal,Barrackpore,SAMRAT TOPADAR,Indian National Congress,30491
6765,West Bengal,Barrackpore,TAPAS SARKAR,Bahujan Samaj Party,5458
6766,West Bengal,Barrackpore,DINA SHANKAR SINGH,Independent,5036
6767,West Bengal,Barrackpore,OMPRAKASH RAJBHAR,Communist Party of India (Marxist-Leninist) (Liberation),4416
6768,West Bengal,Barrackpore,OM PRAKASH SHAW,Independent,3555
6769,West Bengal,Barrackpore,GIRISH CHANDRA SINGH,Independent,3132
6770,West Bengal,Barrackpore,PRADIP CHAUDHURI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2200
6771,West Bengal,Barrackpore,SHARMISTHA CHOUDHURY,Communist Party of India (Marxist-Leninist) Red Star,2036
6772,West Bengal,Barrackpore,MIHIR BISWAS,Aam Aadmi Party,1787
6773,West Bengal,Barrackpore,None of the Above,None of the Above,10979
6774,West Bengal,Dum dum,SAUGATA ROY,All India Trinamool Congress,483244
6775,West Bengal,Dum dum,ASIM KUMAR DASGUPTA,Communist Party of India (Marxist),328310
6776,West Bengal,Dum dum,TAPAN SIKDAR,Bharatiya Janata Party,254819
6777,West Bengal,Dum dum,DHANANJAY (SHAKTI) MOITRA,Indian National Congress,34116
6778,West Bengal,Dum dum,ASHOK KUNDU,Party for Democratic Socialism,4823
6779,West Bengal,Dum dum,NARENDRA NATH GHOSH (NAREN GHOSH),Bahujan Samaj Party,4077
6780,West Bengal,Dum dum,SUKHA RANJAN BANIK,Independent,3256
6781,West Bengal,Dum dum,SATYABRATA BANDYOPADHYAY,Rashtriya Janadhikar Suraksha Party,1618
6782,West Bengal,Dum dum,SIKHA SEN ROY,Communist Party of India (Marxist-Leninist) Red Star,1544
6783,West Bengal,Dum dum,None of the Above,None of the Above,16837
6784,West Bengal,Barasat,DR. KAKALI GHOSHDOSTIDAR,All India Trinamool Congress,525387
6785,West Bengal,Barasat,DR. MORTOZA HOSSAIN,All India Forward Bloc,352246
6786,West Bengal,Barasat,P.C. SORCAR JUNIOR,Bharatiya Janata Party,296608
6787,West Bengal,Barasat,RIJU GHOSAL,Indian National Congress,40660
6788,West Bengal,Barasat,SUKUMAR BALA,Bahujan Samaj Party,12178
6789,West Bengal,Barasat,MORTTAJA HOSEN,Independent,6911
6790,West Bengal,Barasat,MD. RAFIKUL ISLAM,Welfare Party Of India,6895
6791,West Bengal,Barasat,SHRI KAUSHIK DAS GUPTA,Independent,6375
6792,West Bengal,Barasat,KALYAN BASAK,Independent,4122
6793,West Bengal,Barasat,PARESH CHANDRA GHOSH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2439
6794,West Bengal,Barasat,BIKASH HAZRA,Bahujan Mukti Party,1478
6795,West Bengal,Barasat,SUKLA BHUIMALI,Communist Party of India (Marxist-Leninist) Red Star,1332
6796,West Bengal,Barasat,None of the Above,None of the Above,12700
6797,West Bengal,Basirhat,IDRIS ALI,All India Trinamool Congress,492326
6798,West Bengal,Basirhat,NURUL HUDA,Communist Party of India,382667
6799,West Bengal,Basirhat,SAMIK BHATTACHARYA,Bharatiya Janata Party,233887
6800,West Bengal,Basirhat,ABDUR RAHIM QUAZI,Indian National Congress,102130
